# ID  age(M)  mass(G)   SFR_Lya  SFR_UV  E(B-V)
 03     4     0.717       9.5    20.9    0.04
 04     4     0.336       8.0     9.9    0.00
 15     8     2.113      19.0    33.9    0.08
 20   492     3.282      15.1    10.5    0.02
 23   444     5.794       4.6    16.0    0.00
 24     4     0.377      12.4    15.2    0.00
 25   956     6.653      13.3    15.9    0.02
 27   324     1.735       6.3     6.9    0.00
 28     4     0.268      16.6    10.4    0.00
 30   912     2.684       4.2     7.8    0.00
 31     4     0.238      17.1     8.4    0.04
 34   992    25.000       3.7    35.0    0.12
 35     4     8.106      16.5    19.5    0.34
 36   988     4.639       2.5    16.1    0.00
 43   972     3.076       4.7     8.6    0.02
 44   872    17.291      18.1    32.6    0.08
 47   184    39.111       4.9    48.4    0.18
 49   212     3.556       5.4     9.7    0.08
 50     4     0.897       8.7     7.7    0.22
 54   460     5.154      11.8    14.1    0.00
 58   960     6.162       4.9    17.5    0.04
 61    32     6.634      11.4    11.0    0.20
 62   472    11.501      13.7    23.9    0.04
 63     8     0.945      16.5    22.4    0.02
 64   200     4.132      11.8    20.2    0.00
 66     4     0.135       7.6     7.1    0.00
 67     4     3.201      20.8    43.3    0.14
