# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
0  		dif_0	-5.0000       	-0.7000       	2.5000e+00    	-3.0000       
1  		dif_1	-5.0000       	-0.7000       	3.3000e+00    	-3.0000       
2  		dif_2	-5.0000       	-0.7000       	4.1000e+00    	-3.0000       
3  		dif_3	-5.0000       	-0.7000       	4.9000e+00    	-3.0000       
4  		dif_4	-5.0000       	-0.7000       	5.7000e+00    	-3.0000       
5  		dif_5	-5.0000       	-0.7000       	6.5000e+00    	-3.0000       
6  		dif_6	-5.0000       	-0.7000       	2.5000e+00    	-2.4000       
7  		dif_7	-5.0000       	-0.7000       	3.3000e+00    	-2.4000       
8  		dif_8	-5.0000       	-0.7000       	4.1000e+00    	-2.4000       
9  		dif_9	-5.0000       	-0.7000       	4.9000e+00    	-2.4000       
10 		dif_10	-5.0000       	-0.7000       	5.7000e+00    	-2.4000       
11 		dif_11	-5.0000       	-0.7000       	6.5000e+00    	-2.4000       
12 		dif_12	-5.0000       	-0.7000       	2.5000e+00    	-1.8000       
13 		dif_13	-5.0000       	-0.7000       	3.3000e+00    	-1.8000       
14 		dif_14	-5.0000       	-0.7000       	4.1000e+00    	-1.8000       
15 		dif_15	-5.0000       	-0.7000       	4.9000e+00    	-1.8000       
16 		dif_16	-5.0000       	-0.7000       	5.7000e+00    	-1.8000       
17 		dif_17	-5.0000       	-0.7000       	6.5000e+00    	-1.8000       
18 		dif_18	-5.0000       	-0.7000       	2.5000e+00    	-1.2000       
19 		dif_19	-5.0000       	-0.7000       	3.3000e+00    	-1.2000       
20 		dif_20	-5.0000       	-0.7000       	4.1000e+00    	-1.2000       
21 		dif_21	-5.0000       	-0.7000       	4.9000e+00    	-1.2000       
22 		dif_22	-5.0000       	-0.7000       	5.7000e+00    	-1.2000       
23 		dif_23	-5.0000       	-0.7000       	6.5000e+00    	-1.2000       
24 		dif_24	-5.0000       	-0.7000       	2.5000e+00    	-0.6000       
25 		dif_25	-5.0000       	-0.7000       	3.3000e+00    	-0.6000       
26 		dif_26	-5.0000       	-0.7000       	4.1000e+00    	-0.6000       
27 		dif_27	-5.0000       	-0.7000       	4.9000e+00    	-0.6000       
28 		dif_28	-5.0000       	-0.7000       	5.7000e+00    	-0.6000       
29 		dif_29	-5.0000       	-0.7000       	6.5000e+00    	-0.6000       
30 		dif_30	-5.0000       	-0.7000       	2.5000e+00    	0.0000        
31 		dif_31	-5.0000       	-0.7000       	3.3000e+00    	0.0000        
32 		dif_32	-5.0000       	-0.7000       	4.1000e+00    	0.0000        
33 		dif_33	-5.0000       	-0.7000       	4.9000e+00    	0.0000        
34 		dif_34	-5.0000       	-0.7000       	5.7000e+00    	0.0000        
35 		dif_35	-5.0000       	-0.7000       	6.5000e+00    	0.0000        
36 		dif_36	-5.0000       	-0.4000       	2.5000e+00    	-3.0000       
37 		dif_37	-5.0000       	-0.4000       	3.3000e+00    	-3.0000       
38 		dif_38	-5.0000       	-0.4000       	4.1000e+00    	-3.0000       
39 		dif_39	-5.0000       	-0.4000       	4.9000e+00    	-3.0000       
40 		dif_40	-5.0000       	-0.4000       	5.7000e+00    	-3.0000       
